metadata;file;mappings;datatype
relativeOrbitNumber;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:orbitNumber/text();Int64
productType;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:productType/text();String
identifier;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:identifier/text();String
parentIdentifier;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:parentIdentifier/text();String
acquisitionType;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:acquisitionType/text();String
status;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:status/text();String
archivingCenter;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:archivingCenter/text();String
archivingDate;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:archivingDate/text();DateTime
deliveryDateTime;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//gsc:deliveryDateTime/text();DateTime
deliveryMethod;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//gsc:deliveryMethod/text();String
beginPosition;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//gml:beginPosition/text();DateTime
endPosition;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//gml:endPosition/text();DateTime
platformShortName;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:platform/eop:Platform/eop:shortName/text();String
platformSerialIdentifier;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:platform/eop:Platform/eop:serialIdentifier/text();String
instrumentShortName;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:instrument/eop:Instrument/eop:shortName/text();String
sensorType;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:sensor/eop:Sensor/eop:sensorType/text();String
operationalMode;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:sensor/eop:Sensor/eop:operationalMode/text();String
resolution;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:sensor/eop:Sensor/eop:resolution/text();Float
orbitNumber;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:orbitNumber/text();Int64
orbitDirection;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:orbitDirection/text();String
acrossTrackIncidenceAngle;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:acrossTrackIncidenceAngle/text();Float
alongTrackIncidenceAngle;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//eop:alongTrackIncidenceAngle/text();Float
illuminationAzimuthAngle;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;//opt:illuminationAzimuthAngle/text();Float
coordinates;GSC#CR#ESA#VHR_IMAGE_2015#20180405#083644.xml;WKT(//eop:Footprint/gml:multiExtentOf/gml:MultiSurface/gml:surfaceMembers/gml:Polygon/gml:exterior/gml:LinearRing/gml:posList/text());String
