metadata;file;mappings;datatype
beginPosition;GSC#CR#ESA#*.xml;//gml:beginPosition/text();DateTime
endPosition;GSC#CR#ESA#*.xml;//gml:endPosition/text();DateTime
platformShortName;GSC#CR#ESA#*.xml;//eop:platform/eop:Platform/eop:shortName/text();String
instrumentShortName;GSC#CR#ESA#*.xml;//eop:instrument/eop:Instrument/eop:shortName/text();String
resolution;GSC#CR#ESA#*.xml;//eop:sensor/eop:Sensor/eop:resolution/text();Float
orbitNumber;GSC#CR#ESA#*.xml;//eop:orbitNumber/text();Int64
orbitDirection;GSC#CR#ESA#*.xml;//eop:orbitDirection/text();String
coordinates;GSC#CR#ESA#*.xml;WKT(//eop:Footprint/gml:multiExtentOf/gml:MultiSurface/gml:surfaceMembers/gml:Polygon/gml:exterior/gml:LinearRing/gml:posList/text());String
cloudCoverPercentage;GSC#CR#ESA#*.xml;//opt:cloudCoverPercentage/text();Float
processingLevel;GSC#CR#ESA#*.xml;//eop:SpecificInformation[eop:localAttribute='proc_level']/eop:localValue/text();Strin

projectedCrsCode;DIM*.xml;//Coordinate_Reference_System/PROJECTED_CRS_CODE/text();String
min1;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[1]/MIN/text();Float
max1;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[1]/MAX/text();Float
min2;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[2]/MIN/text();Float
max2;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[2]/MAX/text();Float
min3;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[3]/MIN/text();Float
max3;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[3]/MAX/text();Float
min4;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[4]/MIN/text();Float
max4;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[4]/MAX/text();Float
bandId1;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[1]/BAND_ID/text();String
bandId2;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[2]/BAND_ID/text();String
bandId3;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[3]/BAND_ID/text();String
bandId4;DIM*.xml;//Radiometric_Data/Radiometric_Calibration/Band_Spectral_Range[4]/BAND_ID/text();String

sun_azimuth;DIM*.xml;//Geometric_Data/SUN_AZIMUTH/text();Float
sun_elevation;DIM*.xml;//Geometric_Data/SUN_ELEVATION/text();Float
azimuth_angle;DIM*.xml;//Geometric_Data/AZIMUTH_ANGLE/text();Float
incidence_angle;DIM*.xml;//Geometric_Data/INCIDENCE_ANGLE/text();Float
software;DIM*.xml;//Processing_Information/Production_Facility/SOFTWARE/text();String
version;DIM*.xml;//Processing_Information/Production_Facility/SOFTWARE/@version;String
dimensionRow;DIM*.xml;//Raster_Data/Raster_Dimensions/NROWS/text();Float
dimensionCol;DIM*.xml;//Raster_Data/Raster_Dimensions/NCOLS/text();Float
dateTime;GSC#CR#ESA#*.xml;//gsc:dateTime/text();DateTime



productType;GSC#CR#ESA#*.xml;//eop:productType/text();String
parentIdentifier;GSC#CR#ESA#*.xml;//eop:parentIdentifier/text();String
acquisitionType;GSC#CR#ESA#*.xml;//eop:acquisitionType/text();String
status;GSC#CR#ESA#*.xml;//eop:status/text();String
archivingCenter;GSC#CR#ESA#*.xml;//eop:archivingCenter/text();String
archivingDate;GSC#CR#ESA#*.xml;//eop:archivingDate/text();DateTime
deliveryDateTime;GSC#CR#ESA#*.xml;//gsc:deliveryDateTime/text();DateTime
