metadata;file;mappings;datatype
id;*_MTL.xml;//LANDSAT_PRODUCT_ID/text();String
instruments;*_MTL.xml;//SENSOR_ID/text();String
created;Odata;;DateTimeOffset
cloudCover;*_MTL.xml;//CLOUD_COVER/text();Double
offNadir;*_MTL.xml;//NADIR_OFFNADIR/text();String
sunElevation;*_MTL.xml;//SUN_ELEVATION/text();Double
sunAzimuth;*_MTL.xml;//SUN_AZIMUTH/text();Double
epsg;*_MTL.xml;concat(326,//UTM_ZONE/text());Int64
shape:reflective:NROWS;*_MTL.xml;//REFLECTIVE_LINES/text();Int64
shape:reflective:NCOLS;*_MTL.xml;//REFLECTIVE_SAMPLES/text();Int64
shape:thermal:NROWS;*_MTL.xml;//THERMAL_LINES/text();Int64
shape:thermal:NCOLS;*_MTL.xml;//THERMAL_SAMPLES/text();Int64
centroid;Python;;Double
cloudCoverLand;*_MTL.xml;//CLOUD_COVER_LAND/text();Int64
wrsType;*_MTL.xml;//WRS_TYPE/text();String
wrsPath;*_MTL.xml;//WRS_PATH/text();String
wrsRow;*_MTL.xml;//WRS_ROW/text();String
collectionCategory;*_MTL.xml;//COLLECTION_CATEGORY/text();String
collectionNumber;*_MTL.xml;//COLLECTION_NUMBER/text();String
correction;*_MTL.xml;//PROCESSING_LEVEL/text();String
sceneId;*_MTL.xml;//LANDSAT_SCENE_ID/text();String
productGenerated;*_MTL.xml;//DATE_PRODUCT_GENERATED/text();DateTimeOffset
doi;*_MTL.xml;substring(//DIGITAL_OBJECT_IDENTIFIER,17);String
datetime;*_MTL.xml;//DATE_PRODUCT_GENERATED/text();DateTimeOffset
payloadId;;;String
processingSoftware:landsat-to-stac;*_MTL.xml;//PROCESSING_SOFTWARE_VERSION/text();String
updated;Odata;;DateTimeOffset
assets:thumbnail:href;;;String
assets:thumbnail:alternate:s3:href;;;String
assets:reduced_resolution_browse:href;;;String
assets:reduced_resolution_browse:alternate:s3:href;;;String
assets:index:href;;;String
assets:mtl.json:href;;;String
assets:mtl.json:alternate:s3:href;;;String
assets:mtl.txt:href;;;String
assets:mtl.txt:alternate:s3:href;;;String
assets:mtl.xml:href;;;String
assets:mtl.xml:alternate:s3:href;;;String
assets:ang.txt:href;;;String
assets:ang.txt:alternate:s3:href;;;String
assets:qa_pixel:href;;;String
assets:qa_pixel:alternate:s3:href;;;String
assets:qa_radsat:href;;;String
assets:qa_radsat:alternate:s3:href;;;String
assets:coastal:href;;;String
assets:coastal:alternate:s3:href;;;String
assets:blue:href;;;String
assets:blue:alternate:s3:href;;;String
assets:green:href;;;String
assets:green:alternate:s3:href;;;String
assets:red:href;;;String
assets:red:alternate:s3:href;;;String
assets:nir08:href;;;String
assets:nir08:alternate:s3:href;;;String
assets:swir16:href;;;String
assets:swir16:alternate:s3:href;;;String
assets:swir22:href;;;String
assets:swir22:alternate:s3:href;;;String
assets:lwir11:href;;;String
assets:lwir11:alternate:s3:href;;;String
assets:lwir12:href;;;String
assets:lwir12:alternate:s3:href;;;String
assets:pan:href;;;String
assets:pan:alternate:s3:href;;;String
assets:cirrus:href;;;String
assets:cirrus:alternate:s3:href;;;String
assets:VAA:href;;;String
assets:VAA:alternate:s3:href;;;String
assets:VZA:href;;;String
assets:VZA:alternate:s3:href;;;String
assets:SAA:href;;;String
assets:SAA:alternate:s3:href;;;String
assets:SZA:href;;;String
assets:SZA:alternate:s3:href;;;String
cornerUpperLeftLat;*_MTL.xml;//CORNER_UL_LAT_PRODUCT/text();Double
cornerUpperLeftLon;*_MTL.xml;//CORNER_UL_LON_PRODUCT/text();Double
cornerUpperRightLat;*_MTL.xml;//CORNER_UR_LAT_PRODUCT/text();Double
cornerUpperRightLat;*_MTL.xml;//CORNER_UR_LON_PRODUCT/text();Double
cornerLowerLeftLat;*_MTL.xml;//CORNER_LL_LAT_PRODUCT/text();Double
cornerLowerLeftLon;*_MTL.xml;//CORNER_LL_LON_PRODUCT/text();Double
cornerLowerRightLat;*_MTL.xml;//CORNER_LR_LAT_PRODUCT/text();Double
cornerLowerRightLon;*_MTL.xml;//CORNER_LR_LON_PRODUCT/text();Double
coordinates;*_MTL.xml;concat(//CORNER_UL_LAT_PRODUCT/text(),' ',//CORNER_UL_LON_PRODUCT/text(),',',//CORNER_UR_LAT_PRODUCT/text(),' ',//CORNER_UR_LON_PRODUCT/text(),',',//CORNER_LL_LAT_PRODUCT/text(),' ',//CORNER_LL_LON_PRODUCT/text(),',',//CORNER_LR_LAT_PRODUCT/text(),' ',//CORNER_LR_LON_PRODUCT/text());String
