metadata;file;mappings;datatype
platformShortName;GSC*CR*.xml;/gsc:report/gsc:sar_metadata/gml:using/eop:EarthObservationEquipment/eop:platform/eop:Platform/eop:shortName;String
instrumentShortName;GSC*CR*.xml;/gsc:report/gsc:sar_metadata/gml:using/eop:EarthObservationEquipment/eop:instrument/eop:Instrument/eop:shortName;String
orbitNumber;GSC*CR*.xml;/gsc:report/gsc:sar_metadata/gml:using/eop:EarthObservationEquipment/eop:acquisitionParameters/sar:Acquisition/eop:orbitNumber;Int64
productType;GSC*CR*.xml;/gsc:report/gsc:sar_metadata/gml:metaDataProperty/gsc:EarthObservationMetaData/eop:productType;String
datetime;GSC*CR*.xml;/gsc:report/gsc:dateTime;DateTime
coordinates;GSC*CR*.xml;WKT(/gsc:report/gsc:sar_metadata/gml:target/eop:Footprint/gml:multiExtentOf/gml:MultiSurface/gml:surfaceMembers/gml:Polygon/gml:exterior/gml:LinearRing/gml:posList/text());String
beginningDateTime;GSC*CR*.xml;//gml:beginPosition/text();DateTime
endingDateTime;GSC*CR*.xml;//gml:endPosition/text();DateTime
archivingDate;GSC*CR*.xml;//eop:archivingDate/text();DateTime
deliveryDateTime;GSC*CR*.xml;//gsc:deliveryDateTime/text();DateTime
polarisations;GSC*CR*.xml;/gsc:report/gsc:sar_metadata/gml:using/eop:EarthObservationEquipment/eop:acquisitionParameters/sar:Acquisition/sar:polarisationChannels;String
acquisitionType;GSC*CR*.xml;//eop:acquisitionType/text();String
epsg;GSC*CR*.xml;//gml:MultiSurface/@srsName;String

