metadata;file;mappings;datatype
platformShortName;GSC_CR_ESA_*.xml;/gsc:report/gsc:sar_metadata/gml:using/eop:EarthObservationEquipment/eop:platform/eop:Platform/eop:shortName;String
instrumentShortName;GSC_CR_ESA_*.xml;/gsc:report/gsc:sar_metadata/gml:using/eop:EarthObservationEquipment/eop:instrument/eop:Instrument/eop:shortName;String
orbitNumber;GSC_CR_ESA_*.xml;/gsc:report/gsc:sar_metadata/gml:using/eop:EarthObservationEquipment/eop:acquisitionParameters/sar:Acquisition/eop:orbitNumber;Int64
productType;GSC_CR_ESA_*.xml;/gsc:report/gsc:sar_metadata/gml:metaDataProperty/gsc:EarthObservationMetaData/eop:productType;String
dateTime;GSC_CR_ESA_*.xml;/gsc:report/gsc:dateTime;DateTime
coordinates;GSC_CR_ESA_*.xml;WKT(/gsc:report/gsc:sar_metadata/gml:target/eop:Footprint/gml:multiExtentOf/gml:MultiSurface/gml:surfaceMembers/gml:Polygon/gml:exterior/gml:LinearRing/gml:posList/text());String
beginningDateTime;GSC_CR_ESA_*.xml;//gml:beginPosition/text();DateTime
endingDateTime;GSC_CR_ESA_*.xml;//gml:endPosition/text();DateTime
archivingDate;GSC_CR_ESA_*.xml;//eop:archivingDate/text();DateTime
deliveryDateTime;GSC_CR_ESA_*.xml;//gsc:deliveryDateTime/text();DateTime
polarisations;GSC_CR_ESA_*.xml;/gsc:report/gsc:sar_metadata/gml:using/eop:EarthObservationEquipment/eop:acquisitionParameters/sar:Acquisition/sar:polarisationChannels;String
acquisitionType;GSC_CR_ESA_*.xml;//eop:acquisitionType/text();String
swathIdentifier;GSC_CR_ESA_*.xml;/gsc:report/gsc:sar_metadata/gml:using/eop:EarthObservationEquipment/eop:sensor/eop:Sensor/eop:swathIdentifier;String
operationalMode;GSC_CR_ESA_*.xml;/gsc:report/gsc:sar_metadata/gml:using/eop:EarthObservationEquipment/eop:sensor/eop:Sensor/eop:operationalMode;String


