metadata;file;mappings;datatype
processingName;manifest.safe;//safe:processing/@name;String
processingDate;manifest.safe;//safe:processing/@start;DateTimeOffset
processingCenter;manifest.safe;//safe:processing/safe:facility/@site;String
processorName;manifest.safe;//safe:processing/safe:facility/safe:software/@name;String
processorVersion;manifest.safe;//safe:processing/safe:facility/safe:software/@version;String
beginningDateTime;manifest.safe;//safe:acquisitionPeriod/safe:startTime/text();DateTimeOffset
endingDateTime;manifest.safe;//safe:acquisitionPeriod/safe:stopTime/text();DateTimeOffset
startTimeFromAscendingNode;manifest.safe;//safe:acquisitionPeriod/safe:extension/s1:timeANX/s1:startTimeANX/text();Double
completionTimeFromAscendingNode;manifest.safe;//safe:acquisitionPeriod/safe:extension/s1:timeANX/s1:stopTimeANX/text();Double
platformIdentifier;manifest.safe;//safe:platform/safe:nssdcIdentifier/text();String
platformShortName;manifest.safe;//safe:platform/safe:familyName/text();String
platformSerialIdentifier;manifest.safe;//safe:platform/safe:number/text();String
instrumentShortName;manifest.safe;//safe:platform/safe:instrument/safe:familyName/@abbreviation;String
operationalMode;manifest.safe;//safe:platform/safe:instrument/safe:extension/*[local-name()='instrumentMode']/*[local-name()='mode']/text();String
swathIdentifier;manifest.safe;join(//safe:platform/safe:instrument/safe:extension/*[local-name()='instrumentMode']/*[local-name()='swath']/text(),', ');String
orbitNumber;manifest.safe;"//safe:orbitReference/safe:orbitNumber[@type=""start""]/text()";Int64
lastOrbitNumber;manifest.safe;"//safe:orbitReference/safe:orbitNumber[@type=""stop""]/text()";Int64
relativeOrbitNumber;manifest.safe;"//safe:orbitReference/safe:relativeOrbitNumber[@type=""start""]/text()";Int64
lastRelativeOrbitNumber;manifest.safe;"//safe:orbitReference/safe:relativeOrbitNumber[@type=""stop""]/text()";Int64
cycleNumber;manifest.safe;//safe:orbitReference/safe:cycleNumber/text();Int64
orbitDirection;manifest.safe;//safe:orbitReference/safe:extension/s1:orbitProperties/s1:pass/text();String
coordinates;manifest.safe;WKT(//safe:frameSet/safe:frame/safe:footPrint/gml:coordinates/text());String
instrumentConfigurationID;manifest.safe;//*[local-name()='standAloneProductInformation']/*[local-name()='instrumentConfigurationID']/text();Int64
datatakeID;manifest.safe;//*[local-name()='standAloneProductInformation']/*[local-name()='missionDataTakeID']/text();Int64
polarisationChannels;manifest.safe;join(//*[local-name()='standAloneProductInformation']/*[local-name()='transmitterReceiverPolarisation']/text(),', ');String
productClass;manifest.safe;//*[local-name()='standAloneProductInformation']/*[local-name()='productClass']/text();String
productComposition;manifest.safe;//*[local-name()='standAloneProductInformation']/*[local-name()='productComposition']/text();String
timeliness;manifest.safe;//*[local-name()='standAloneProductInformation']/*[local-name()='productTimelinessCategory']/text();String
sliceProductFlag;manifest.safe;//*[local-name()='standAloneProductInformation']/*[local-name()='sliceProductFlag']/text();Boolean
segmentStartTime;manifest.safe;//*[local-name()='standAloneProductInformation']/*[local-name()='segmentStartTime']/text();DateTimeOffset
sliceNumber;manifest.safe;//*[local-name()='standAloneProductInformation']/*[local-name()='sliceNumber']/text();Int64
totalSlices;manifest.safe;//*[local-name()='standAloneProductInformation']/*[local-name()='totalSlices']/text();Int64
polarisationChannel:1;manifest.safe;//*[local-name()='standAloneProductInformation']/*[local-name()='transmitterReceiverPolarisation'][1]/text();String
polarisationChannel:2;manifest.safe;//*[local-name()='standAloneProductInformation']/*[local-name()='transmitterReceiverPolarisation'][2]/text();String
anxTime;manifest.safe;//s1:ascendingNodeTime/text();DateTimeOffset
asset:s1:vh:product;manifest.safe;//dataObject[starts-with(@ID, 'products1as1slcvh')]/byteStream/fileLocation/@href;String
asset:s1:vh:noises;manifest.safe;//dataObject[starts-with(@ID, 'noises1as1slcvh')]/byteStream/fileLocation/@href;String
asset:s1:vh:rfis;manifest.safe;//dataObject[starts-with(@ID, 'rfis1as1slcvh')]/byteStream/fileLocation/@href;String
asset:s1:vh:calibration;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1as1slcvh')]/byteStream/fileLocation/@href;String
asset:s1:vv:product;manifest.safe;//dataObject[starts-with(@ID, 'products1as1slcvv')]/byteStream/fileLocation/@href;String
asset:s1:vv:noises;manifest.safe;//dataObject[starts-with(@ID, 'noises1as1slcvv')]/byteStream/fileLocation/@href;String
asset:s1:vv:rfis;manifest.safe;//dataObject[starts-with(@ID, 'rfis1as1slcvv')]/byteStream/fileLocation/@href;String
asset:s1:vv:calibration;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1as1slcvv')]/byteStream/fileLocation/@href;String
asset:s1:hh:product;manifest.safe;//dataObject[starts-with(@ID, 'products1as1slchh')]/byteStream/fileLocation/@href;String
asset:s1:hh:noises;manifest.safe;//dataObject[starts-with(@ID, 'noises1as1slchh')]/byteStream/fileLocation/@href;String
asset:s1:hh:rfis;manifest.safe;//dataObject[starts-with(@ID, 'rfis1as1slchh')]/byteStream/fileLocation/@href;String
asset:s1:hh:calibration;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1as1slchh')]/byteStream/fileLocation/@href;String
asset:s1:hv:product;manifest.safe;//dataObject[starts-with(@ID, 'products1as1slchv')]/byteStream/fileLocation/@href;String
asset:s1:hv:noises;manifest.safe;//dataObject[starts-with(@ID, 'noises1as1slchv')]/byteStream/fileLocation/@href;String
asset:s1:hv:rfis;manifest.safe;//dataObject[starts-with(@ID, 'rfis1as1slchv')]/byteStream/fileLocation/@href;String
asset:s1:hv:calibration;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1as1slchv')]/byteStream/fileLocation/@href;String
asset:s1:vh:product:checksum;manifest.safe;//dataObject[starts-with(@ID, 'products1as1slcvh')]/byteStream/checksum/text();String
asset:s1:vh:noises:checksum;manifest.safe;//dataObject[starts-with(@ID, 'noises1as1slcvh')]/byteStream/checksum/text();String
asset:s1:vh:rfis:checksum;manifest.safe;//dataObject[starts-with(@ID, 'rfis1as1slcvh')]/byteStream/checksum/text();String
asset:s1:vh:calibration:checksum;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1as1slcvh')]/byteStream/checksum/text();String
asset:s1:vv:product:checksum;manifest.safe;//dataObject[starts-with(@ID, 'products1as1slcvv')]/byteStream/checksum/text();String
asset:s1:vv:noises:checksum;manifest.safe;//dataObject[starts-with(@ID, 'noises1as1slcvv')]/byteStream/checksum/text();String
asset:s1:vv:rfis:checksum;manifest.safe;//dataObject[starts-with(@ID, 'rfis1as1slcvv')]/byteStream/checksum/text();String
asset:s1:vv:calibration:checksum;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1as1slcvv')]/byteStream/checksum/text();String
asset:s1:hh:product:checksum;manifest.safe;//dataObject[starts-with(@ID, 'products1as1slchh')]/byteStream/checksum/text();String
asset:s1:hh:noises:checksum;manifest.safe;//dataObject[starts-with(@ID, 'noises1as1slchh')]/byteStream/checksum/text();String
asset:s1:hh:rfis:checksum;manifest.safe;//dataObject[starts-with(@ID, 'rfis1as1slchh')]/byteStream/checksum/text();String
asset:s1:hh:calibration:checksum;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1as1slchh')]/byteStream/checksum/text();String
asset:s1:hv:product:checksum;manifest.safe;//dataObject[starts-with(@ID, 'products1as1slchv')]/byteStream/checksum/text();String
asset:s1:hv:noises:checksum;manifest.safe;//dataObject[starts-with(@ID, 'noises1as1slchv')]/byteStream/checksum/text();String
asset:s1:hv:rfis:checksum;manifest.safe;//dataObject[starts-with(@ID, 'rfis1as1slchv')]/byteStream/checksum/text();String
asset:s1:hv:calibration:checksum;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1as1slchv')]/byteStream/checksum/text();String
asset:s1:vh:product:size;manifest.safe;//dataObject[starts-with(@ID, 'products1as1slcvh')]/byteStream/@size;Int64
asset:s1:vh:noises:size;manifest.safe;//dataObject[starts-with(@ID, 'noises1as1slcvh')]/byteStream/@size;Int64
asset:s1:vh:rfis:size;manifest.safe;//dataObject[starts-with(@ID, 'rfis1as1slcvh')]/byteStream/@size;Int64
asset:s1:vh:calibration:size;manifest.safe;//dataObject[starts-with(@ID, 'calibrations1as1slcvh')]/byteStream/@size;Int64
asset:s1:vv:product:size;manifest.safe;//dataObject[starts-with(@ID, 'products1as1slcvv')]/byteStream/@size;Int64
