metadata;file;mappings;datatype
beginningDateTime;MTD_MSIL2A.xml;//PRODUCT_START_TIME/text();DateTimeOffset
endingDateTime;MTD_MSIL2A.xml;//PRODUCT_STOP_TIME/text();DateTimeOffset
processingDate;MTD_MSIL2A.xml;//GENERATION_TIME/text();DateTimeOffset
platformShortName;MTD_MSIL2A.xml;substring(//SPACECRAFT_NAME/text(),1,10);String
platformSerialIdentifier;MTD_MSIL2A.xml;concat('2',substring(//PRODUCT_URI/text(),3,1));String
instrumentShortName;MTD_MSIL2A.xml;substring(//PRODUCT_TYPE/text(), 3, 3);String
orbitNumber;manifest.safe;//safe:orbitNumber[@type="start"]/text();Int64
relativeOrbitNumber;MTD_MSIL2A.xml;//SENSING_ORBIT_NUMBER/text();Int64
orbitDirection;MTD_MSIL2A.xml;//SENSING_ORBIT_DIRECTION/text();String
srs;MTD_MSIL2A.xml;//Coordinate_Reference_System/GEO_TABLES/text();String
cloudCover;MTD_MSIL2A.xml;//Cloud_Coverage_Assessment/text();Double
productType;MTD_MSIL2A.xml;//PRODUCT_TYPE/text();String
acquisitionDate;MTD_MSIL2A.xml;//DATATAKE_SENSING_START/text();DateTimeOffset
acquisitionStation;MTD_DS.xml;//RECEPTION_STATION/text();String
archivingIdentifier;MTD_MSIL2A.xml;//Datatake/@datatakeIdentifier/text();String
archivingCenter;MTD_TL.xml;//ARCHIVING_CENTRE/text();String
archivingDate;MTD_TL.xml;//ARCHIVING_TIME/text();DateTimeOffset
processingCenter;MTD_MSIL2A.xml;//PROCESSING_CENTER/text();String
processorVersion;MTD_MSIL2A.xml;//PROCESSING_BASELINE/text();String
processingLevel;MTD_MSIL2A.xml;substring-after(//PROCESSING_LEVEL/text(), "-");String
nativeProductFormat;MTD_MSIL2A.xml;//PRODUCT_FORMAT/text();String
tileId;MTD_MSIL2A.xml;substring(//PRODUCT_URI/text(),40,5);String
s2msi:productUri;MTD_MSIL2A.xml;//PRODUCT_URI/text();String
s2msi:dataTakeType;MTD_MSIL2A.xml;//DATATAKE_TYPE/text();String
s2msi:reflectanceConversion;MTD_MSIL2A.xml;//Reflectance_Conversion/U/text();Double
s2msi:productionDEMtype;MTD_MSIL2A.xml;//PRODUCTION_DEM_TYPE/text();String
s2msi:degradedANCdataPercentage;MTD_MSIL2A.xml;//DEGRADED_ANC_DATA_PERCENTAGE/text();Double
s2msi:degradedMSIdataPercentage;MTD_MSIL2A.xml;//DEGRADED_MSI_DATA_PERCENTAGE/text();Double
processingDate;MTD_MSIL2A.xml;//Product_Info/GENERATION_TIME/text();DateTimeOffset
datastripId;MTD_MSIL2A.xml;//Granule/@datastripIdentifier;String
granuleIdentifier;MTD_MSIL2A.xml;//Granule/@granuleIdentifier;String
productGroupId;MTD_MSIL2A.xml;//Datatake/@datatakeIdentifier;String
illuminationZenithAngle;MTD_TL.xml;//Mean_Sun_Angle/AZIMUTH_ANGLE/text();Double
view:sun_elevation;MTD_TL.xml;//Mean_Sun_Angle/ZENITH_ANGLE/text();Double
s2msi:cloudyPixelPercentage;MTD_TL.xml;//CLOUDY_PIXEL_PERCENTAGE/text();Double
s2msi:tileId;MTD_TL.xml;//TILE_ID/text();String
qualityStatus;MTD_MSIL2A.xml;map(concat(//quality_check[1]/text(),'+',//quality_check[2]/text(),'+',//quality_check[3]/text(),'+',//quality_check[4]/text()),'{"PASSED+PASSED+PASSED+PASSED":"NOMINAL","default":"DEGRADED"}');String
qualityFlags;MTD_MSIL2A.xml;concat(//quality_check[1]/text(),'+',//quality_check[2]/text(),'+',//quality_check[3]/text(),'+',//quality_check[4]/text());String
eop:browse;MTD_TL.xml;concat('#',//PVI_FILENAME/text());String
coordinates;MTD_MSIL2A.xml;WKT(//Global_Footprint/EXT_POS_LIST/text());String
eop:sensorType;static;OPTICAL;String
eop:instrumentType;static;OPTICAL;String
eop:instrumentDescription;static;Multi Spectral Instrument (MSI);String
eop:sensorResolution;static;10;Int64
eop:platformOrbitType;static;LEO;String
eop:acquisitionType;static;NOMINAL;String
eop:status;static;ARCHIVED;String
asset:B01;MTD_MSIL2A.xml;concat(//Granule/IMAGE_FILE[1]/text(), '.jp2');String
asset:B02;MTD_MSIL2A.xml;concat(//Granule/IMAGE_FILE[2]/text(), '.jp2');String
asset:B03;MTD_MSIL2A.xml;concat(//Granule/IMAGE_FILE[3]/text(), '.jp2');String
asset:B04;MTD_MSIL2A.xml;concat(//Granule/IMAGE_FILE[4]/text(), '.jp2');String
asset:B05;MTD_MSIL2A.xml;concat(//Granule/IMAGE_FILE[5]/text(), '.jp2');String
asset:B06;MTD_MSIL2A.xml;concat(//Granule/IMAGE_FILE[6]/text(), '.jp2');String
asset:B07;MTD_MSIL2A.xml;concat(//Granule/IMAGE_FILE[7]/text(), '.jp2');String
asset:B08;MTD_MSIL2A.xml;concat(//Granule/IMAGE_FILE[8]/text(), '.jp2');String
