metadata;file;mappings;datatype
beginningDateTime;xfdumanifest.xml;//sentinel-safe:acquisitionPeriod/sentinel-safe:startTime/text();DateTimeOffset
endingDateTime;xfdumanifest.xml;//sentinel-safe:acquisitionPeriod/sentinel-safe:stopTime/text();DateTimeOffset
platformShortName;static;sentinel-3;String
platformSerialIdentifier;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:number/text();String
instrumentShortName;xfdumanifest.xml;lowercase(//sentinel-safe:platform/sentinel-safe:instrument/sentinel-safe:familyName/@abbreviation);String
operationalMode;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:instrument/sentinel-safe:mode/text();String
productType;xfdumanifest.xml;//sentinel3:generalProductInformation/sentinel3:productType/text();String
timeliness;xfdumanifest.xml;//sentinel3:generalProductInformation/sentinel3:timeliness/text();String
baselineCollection;xfdumanifest.xml;//sentinel3:generalProductInformation/sentinel3:baselineCollection/text();String
brightCover;xfdumanifest.xml;//olci:olciProductInformation/olci:classificationSummary/sentinel3:brightPixels/@percentage;Double
salineWaterCover;xfdumanifest.xml;//olci:olciProductInformation/olci:classificationSummary/sentinel3:salineWaterPixels/@percentage;Double
coastalCover;xfdumanifest.xml;//olci:olciProductInformation/olci:classificationSummary/sentinel3:coastalPixels/@percentage;Double
freshInlandWaterCover;xfdumanifest.xml;//olci:olciProductInformation/olci:classificationSummary/sentinel3:freshInlandWaterPixels/@percentage;Double
tidalRegionCover;xfdumanifest.xml;//olci:olciProductInformation/olci:classificationSummary/sentinel3:tidalRegionPixels/@percentage;Double
brightPixels;xfdumanifest.xml;//olci:olciProductInformation/olci:classificationSummary/sentinel3:brightPixels/@percentage;Double
invalidPixels;xfdumanifest.xml;//olci:olciProductInformation/olci:pixelQualitySummary/olci:invalidPixels/@percentage;Double
cosmeticPixels;xfdumanifest.xml;//olci:olciProductInformation/olci:pixelQualitySummary/olci:cosmeticPixels/@percentage;Double
duplicatedPixels;xfdumanifest.xml;//olci:olciProductInformation/olci:pixelQualitySummary/olci:duplicatedPixels/@percentage;Double
saturatedPixels;xfdumanifest.xml;//olci:olciProductInformation/olci:pixelQualitySummary/olci:saturatedPixels/@percentage;Double
dubiousSamples;xfdumanifest.xml;//olci:olciProductInformation/olci:pixelQualitySummary/olci:dubiousSamples/@percentage;Double
landCover;xfdumanifest.xml;//olci:olciProductInformation/olci:classificationSummary/sentinel3:landPixels/@percentage;Double
cloudCover;xfdumanifest.xml;//olci:olciProductInformation/olci:classificationSummary/sentinel3:cloudyPixels/@percentage;Double
orbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:orbitNumber/text();Int64
orbitDirection;xfdumanifest.xml;lowercase(//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[1]/@groundTrackDirection);String
lastOrbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[2]/text();Int64
lastOrbitDirection;xfdumanifest.xml;uppercase(//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[2]/@groundTrackDirection);String
relativeOrbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:relativeOrbitNumber/text();Int64
cycleNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:cycleNumber/text();Int64
processingLevel;xfdumanifest.xml;//sentinel-safe:processing/@outputLevel;String
processingDate;xfdumanifest.xml;//sentinel-safe:processing/@start;DateTimeOffset
processingCenter;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/@site;String
processorName;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/sentinel-safe:software/@name;String
processorVersion;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/sentinel-safe:software/@version;String
coordinates;xfdumanifest.xml;WKT(//sentinel-safe:frameSet/sentinel-safe:footPrint/gml:posList/text());String
alSpatialSampling;xfdumanifest.xml;//olci:olciProductInformation/olci:samplingParameters/olci:alSpatialSampling/text();Double
acSpatialSampling;xfdumanifest.xml;//olci:olciProductInformation/olci:samplingParameters/olci:acSpatialSampling/text();Double
imageSize:rows;xfdumanifest.xml;//olci:olciProductInformation/olci:imageSize/sentinel3:rows/text();Int
imageSize:columns;xfdumanifest.xml;//olci:olciProductInformation/olci:imageSize/sentinel3:columns/text();Int
nssdcIdentifier;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:nssdcIdentifier/text();String
asset:Oa01_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa01_radianceData']/byteStream/fileLocation/@href;String
asset:Oa02_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa02_radianceData']/byteStream/fileLocation/@href;String
asset:Oa03_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa03_radianceData']/byteStream/fileLocation/@href;String
asset:Oa04_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa04_radianceData']/byteStream/fileLocation/@href;String
asset:Oa05_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa05_radianceData']/byteStream/fileLocation/@href;String
asset:Oa06_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa06_radianceData']/byteStream/fileLocation/@href;String
asset:Oa07_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa07_radianceData']/byteStream/fileLocation/@href;String
asset:Oa08_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa08_radianceData']/byteStream/fileLocation/@href;String
asset:Oa09_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa09_radianceData']/byteStream/fileLocation/@href;String
asset:Oa10_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa10_radianceData']/byteStream/fileLocation/@href;String
asset:Oa11_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa11_radianceData']/byteStream/fileLocation/@href;String
asset:Oa12_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa12_radianceData']/byteStream/fileLocation/@href;String
asset:Oa13_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa13_radianceData']/byteStream/fileLocation/@href;String
asset:Oa14_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa14_radianceData']/byteStream/fileLocation/@href;String
asset:Oa15_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa15_radianceData']/byteStream/fileLocation/@href;String
asset:Oa16_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa16_radianceData']/byteStream/fileLocation/@href;String
asset:Oa17_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa17_radianceData']/byteStream/fileLocation/@href;String
asset:Oa18_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa18_radianceData']/byteStream/fileLocation/@href;String
asset:Oa19_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa19_radianceData']/byteStream/fileLocation/@href;String
asset:Oa20_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa20_radianceData']/byteStream/fileLocation/@href;String
asset:Oa21_radianceData;xfdumanifest.xml;//dataObject[@ID='Oa21_radianceData']/byteStream/fileLocation/@href;String
asset:Oa01_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa01_radianceData']/byteStream/@size;Int64
asset:Oa02_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa02_radianceData']/byteStream/@size;Int64
asset:Oa03_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa03_radianceData']/byteStream/@size;Int64
asset:Oa04_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa04_radianceData']/byteStream/@size;Int64
asset:Oa05_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa05_radianceData']/byteStream/@size;Int64
asset:Oa06_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa06_radianceData']/byteStream/@size;Int64
asset:Oa07_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa07_radianceData']/byteStream/@size;Int64
asset:Oa08_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa08_radianceData']/byteStream/@size;Int64
asset:Oa09_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa09_radianceData']/byteStream/@size;Int64
asset:Oa10_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa10_radianceData']/byteStream/@size;Int64
asset:Oa11_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa11_radianceData']/byteStream/@size;Int64
asset:Oa12_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa12_radianceData']/byteStream/@size;Int64
asset:Oa13_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa13_radianceData']/byteStream/@size;Int64
asset:Oa14_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa14_radianceData']/byteStream/@size;Int64
asset:Oa15_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa15_radianceData']/byteStream/@size;Int64
asset:Oa16_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa16_radianceData']/byteStream/@size;Int64
asset:Oa17_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa17_radianceData']/byteStream/@size;Int64
asset:Oa18_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa18_radianceData']/byteStream/@size;Int64
asset:Oa19_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa19_radianceData']/byteStream/@size;Int64
asset:Oa20_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa20_radianceData']/byteStream/@size;Int64
asset:Oa21_radianceData:size;xfdumanifest.xml;//dataObject[@ID='Oa21_radianceData']/byteStream/@size;Int64
asset:Oa01_radianceData:checksum;xfdumanifest.xml;//dataObject[@ID='Oa01_radianceData']/byteStream/checksum/text();String
asset:Oa02_radianceData:checksum;xfdumanifest.xml;//dataObject[@ID='Oa02_radianceData']/byteStream/checksum/text();String
