metadata;file;mappings;datatype
beginningDateTime;xfdumanifest.xml;//sentinel-safe:acquisitionPeriod/sentinel-safe:startTime/text();DateTimeOffset
endingDateTime;xfdumanifest.xml;//sentinel-safe:acquisitionPeriod/sentinel-safe:stopTime/text();DateTimeOffset
platformShortName;static;sentinel-6;String
platformSerialIdentifier;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:number/text();String
instrumentShortName;xfdumanifest.xml;lowercase(//sentinel-safe:platform/sentinel-safe:instrument/sentinel-safe:familyName/@abbreviation);String
operationalMode;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:instrument/sentinel-safe:mode/text();String
productType;xfdumanifest.xml;//sentinel6:generalProductInformation/sentinel6:productType/text();String
timeliness;xfdumanifest.xml;//sentinel6:generalProductInformation/sentinel6:timeliness/text();String
baselineCollection;xfdumanifest.xml;//sentinel6:generalProductInformation/sentinel6:baselineCollection/text();String
brightCover;xfdumanifest.xml;//alt:altProductInformation/alt:classificationSummary/sentinel6:brightPixels/@percentage;Double
salineWaterCover;xfdumanifest.xml;//alt:altProductInformation/alt:classificationSummary/sentinel6:salineWaterPixels/@percentage;Double
coastalCover;xfdumanifest.xml;//alt:altProductInformation/alt:classificationSummary/sentinel6:coastalPixels/@percentage;Double
freshInlandWaterCover;xfdumanifest.xml;//alt:altProductInformation/alt:classificationSummary/sentinel6:freshInlandWaterPixels/@percentage;Double
tidalRegionCover;xfdumanifest.xml;//alt:altProductInformation/alt:classificationSummary/sentinel6:tidalRegionPixels/@percentage;Double
brightPixels;xfdumanifest.xml;//alt:altProductInformation/alt:classificationSummary/sentinel6:brightPixels/@percentage;Double
invalidPixels;xfdumanifest.xml;//alt:altProductInformation/alt:pixelQualitySummary/alt:invalidPixels/@percentage;Double
cosmeticPixels;xfdumanifest.xml;//alt:altProductInformation/alt:pixelQualitySummary/alt:cosmeticPixels/@percentage;Double
duplicatedPixels;xfdumanifest.xml;//alt:altProductInformation/alt:pixelQualitySummary/alt:duplicatedPixels/@percentage;Double
saturatedPixels;xfdumanifest.xml;//alt:altProductInformation/alt:pixelQualitySummary/alt:saturatedPixels/@percentage;Double
dubiousSamples;xfdumanifest.xml;//alt:altProductInformation/alt:pixelQualitySummary/alt:dubiousSamples/@percentage;Double
landCover;xfdumanifest.xml;//alt:altProductInformation/alt:classificationSummary/sentinel6:landPixels/@percentage;Double
cloudCover;xfdumanifest.xml;//alt:altProductInformation/alt:classificationSummary/sentinel6:cloudyPixels/@percentage;Double
orbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:orbitNumber/text();Int64
orbitDirection;xfdumanifest.xml;lowercase(//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[1]/@groundTrackDirection);String
lastOrbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[2]/text();Int64
lastOrbitDirection;xfdumanifest.xml;uppercase(//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[2]/@groundTrackDirection);String
relativeOrbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:relativeOrbitNumber/text();Int64
cycleNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:cycleNumber/text();Int64
processingLevel;xfdumanifest.xml;//sentinel-safe:processing/@outputLevel;String
processingDate;xfdumanifest.xml;//sentinel-safe:processing/@start;DateTimeOffset
processingCenter;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/@site;String
processorName;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/sentinel-safe:software/@name;String
processorVersion;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/sentinel-safe:software/@version;String
coordinates;xfdumanifest.xml;WKT(//sentinel-safe:frameSet/sentinel-safe:footPrint/gml:posList/text());String
alSpatialSampling;xfdumanifest.xml;//alt:altProductInformation/alt:samplingParameters/alt:alSpatialSampling/text();Double
acSpatialSampling;xfdumanifest.xml;//alt:altProductInformation/alt:samplingParameters/alt:acSpatialSampling/text();Double
imageSize:rows;xfdumanifest.xml;//alt:altProductInformation/alt:imageSize/sentinel6:rows/text();Int
imageSize:columns;xfdumanifest.xml;//alt:altProductInformation/alt:imageSize/sentinel6:columns/text();Int
epsg;xfdumanifest.xml;substring-after(//sentinel-safe:frameSet/sentinel-safe:footPrint/@srsName, 'EPSG:');Int
nssdcIdentifier;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:nssdcIdentifier/text();String
asset:ALTData;xfdumanifest.xml;//dataObject[@ID='ALTData']/byteStream/fileLocation/@href;String
asset:ALTData:size;xfdumanifest.xml;//dataObject[@ID='ALTData']/byteStream/@size;Int
asset:ALTData:checksum;xfdumanifest.xml;//dataObject[@ID='ALTData']/byteStream/checksum/text();String
asset:ALTData0;xfdumanifest.xml;//dataObject[@ID='ALTData0']/byteStream/fileLocation/@href;String
asset:ALTData0:size;xfdumanifest.xml;//dataObject[@ID='ALTData0']/byteStream/@size;Int
asset:ALTData0:checksum;xfdumanifest.xml;//dataObject[@ID='ALTData0']/byteStream/checksum/text();String
asset:ALTData1;xfdumanifest.xml;//dataObject[@ID='ALTData1']/byteStream/fileLocation/@href;String
asset:ALTData1:size;xfdumanifest.xml;//dataObject[@ID='ALTData1']/byteStream/@size;Int
asset:ALTData1:checksum;xfdumanifest.xml;//dataObject[@ID='ALTData1']/byteStream/checksum/text();String
asset:ALTData2;xfdumanifest.xml;//dataObject[@ID='ALTData2']/byteStream/fileLocation/@href;String
asset:ALTData2:size;xfdumanifest.xml;//dataObject[@ID='ALTData2']/byteStream/@size;Int
asset:ALTData2:checksum;xfdumanifest.xml;//dataObject[@ID='ALTData2']/byteStream/checksum/text();String
dimensions;measurement.nc;dimensions;Dict
variables;measurement.nc;variables;Dict
dimensions_std;*P4_2__LR_STD*.nc;dimensions;Dict
variables_std;*P4_2__LR_STD*.nc;variables;Dict
dimensions_red;*P4_2__LR_RED*.nc;dimensions;Dict
variables_red;*P4_2__LR_RED*.nc;variables;Dict
